modul,einheit,zyklus,domaene,kennzahl,wert,art,quelle,hinweis
M302/M301,B-S-J-Z (China),2025,sci,Mittelwert,597.0,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,B-S-J-Z (China),2025,sci,SE (aus 95-%-KI),2.04,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,B-S-J-Z (China),2025,sci,Rangspanne (alle),1–1,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,B-S-J-Z (China),2025,read,Mittelwert,526.5,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,B-S-J-Z (China),2025,read,SE (aus 95-%-KI),1.79,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,B-S-J-Z (China),2025,read,Rangspanne (alle),1–2,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,B-S-J-Z (China),2025,math,Mittelwert,612.4,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,B-S-J-Z (China),2025,math,SE (aus 95-%-KI),2.55,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,B-S-J-Z (China),2025,math,Rangspanne (alle),1–1,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,B-S-J-Z (China),2025,cps,Mittelwert,560.3,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,B-S-J-Z (China),2025,cps,SE (aus 95-%-KI),1.53,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,B-S-J-Z (China),2025,cps,Rangspanne (alle),2–4,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302,B-S-J-Z (China),2025,sci,P10,481.9,OFFICIAL_STATLINK,Figure I.2.1,
M302,B-S-J-Z (China),2025,sci,P25,542.0,OFFICIAL_STATLINK,Figure I.2.1,
M302,B-S-J-Z (China),2025,sci,P50,602.5,OFFICIAL_STATLINK,Figure I.2.1,
M302,B-S-J-Z (China),2025,sci,P75,658.0,OFFICIAL_STATLINK,Figure I.2.1,
M302,B-S-J-Z (China),2025,sci,P90,705.0,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,B-S-J-Z (China),2025,sci,P90−P10,223.0,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,B-S-J-Z (China),2025,sci,unter Stufe 2 (%),2.5,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,B-S-J-Z (China),2025,sci,Stufe 5–6 (%),35.6,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302/M301,Singapore,2025,sci,Mittelwert,559.9,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Singapore,2025,sci,SE (aus 95-%-KI),1.79,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Singapore,2025,sci,Rangspanne (alle),2–2,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Singapore,2025,read,Mittelwert,534.9,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Singapore,2025,read,SE (aus 95-%-KI),2.04,DERIVED_CI,"KI-Breite/(2·1,96)",
